Independent Variable	Fit Peak 1	Fit Peak 2	Fit Peak 3	Fit Peak 4	Fit Peak 5	Fit Peak 6	Fit Peak 7	Fit Peak 8	Fit Peak 9	Fit Peak 10	Fit Peak 11	Fit Peak 12	Cumulative Fit Peak	Independent Variable	Regular Residual F"Smoothed Y2"	Regular Residual F"Smoothed Y2"	Fitted Y	Regular Residual F"Smoothed Y2"	Regular Residual F"Smoothed Y2"	Percentiles	Reference X	Reference Line
																					mu = -0.027843	sigma = 188.204693
384.151738598443	-115.554763434041	-115.554763087246	-115.352318801231	-113.471354362981	-113.645536936826	-114.217587525331	-114.824477419282	-115.428691490657	-115.403512356585	-115.554763434041	-115.554763434041	-115.554763434041	-109.014897941855	355.892	72.5772944698649	72.5772944698649	-109.803906040113	72.5772944698649	-577.32767123456	1.41506201603509		
384.91959621802	-115.554763434041	-115.554763085837	-115.351526633133	-113.463532141957	-113.638612594234	-114.21282106166	-114.822016228486	-115.428278819022	-115.403026419719	-115.554763434041	-115.554763434041	-115.554763434041	-108.991232945764	356.106	79.1221166814724	79.1221166814724	-109.798480317836	79.1221166814724	-571.425156117781	1.44247241828274		
385.687453837597	-115.554763434041	-115.55476308442	-115.350729805888	-113.45566578642	-113.631650510598	-114.208029043711	-114.819542563822	-115.427864116645	-115.402538136526	-115.554763434041	-115.554763434041	-115.554763434041	-108.967439009746	356.319	82.2649731341085	82.2649731341085	-109.793072307662	82.2649731341085	-560.057430122688	1.46988282053039		
386.455311457175	-115.554763434041	-115.554763082994	-115.349928282882	-113.447754963735	-113.624650411121	-114.203211288319	-114.817056340782	-115.42744737017	-115.402047491873	-115.554763434041	-115.554763434041	-115.554763434041	-108.943515193592	356.533	83.9353171660384	83.9353171660384	-109.787631215625	83.9353171660384	-559.387371108571	1.49729322277804		
387.223169076752	-115.554763434041	-115.55476308156	-115.349122027144	-113.439799338127	-113.617612018501	-114.198367610674	-114.814557474135	-115.427028566133	-115.401554470501	-115.554763434041	-115.554763434041	-115.554763434041	-108.919460548491	356.746	88.7030343248618	88.7030343248618	-109.782207878581	88.7030343248618	-557.452954949936	1.5247036250257		
387.991026696329	-115.554763434041	-115.554763080116	-115.348311001336	-113.431798570646	-113.610535052902	-114.193497824301	-114.812045877929	-115.426607690959	-115.401059057031	-115.554763434041	-115.554763434041	-115.554763434041	-108.895274116936	356.96	91.0334455734551	91.0334455734551	-109.776751358579	91.0334455734551	-555.075618552392	1.55211402727335		
388.758884315907	-115.554763434041	-115.554763078664	-115.347495167753	-113.423752319131	-113.603419231924	-114.188601741046	-114.809521465478	-115.42618473096	-115.400561235957	-115.554763434041	-115.554763434041	-115.554763434041	-108.87095493263	357.173	94.7178415622134	94.7178415622134	-109.771312636594	94.7178415622134	-554.828160452889	1.579524429521		
389.526741935484	-115.554763434041	-115.554763077203	-115.346674488316	-113.415660238171	-113.596264270582	-114.183679171054	-114.806984149357	-115.425759672336	-115.400060991648	-115.554763434041	-115.554763434041	-115.554763434041	-108.846502020383	357.386	97.4880976233169	97.4880976233169	-109.765866218358	97.4880976233169	-554.786587941141	1.60693483176866		
390.294599555061	-115.554763434041	-115.554763075732	-115.345848924567	-113.407521979074	-113.589069881272	-114.178729922752	-114.804433841393	-115.42533250117	-115.399558308347	-115.554763434041	-115.554763434041	-115.554763434041	-108.821914396024	357.6	100.715345142559	100.715345142559	-109.760386464873	100.715345142559	-552.966688334891	1.63434523401631		
391.062457174639	-115.554763434041	-115.554763074253	-115.345018437667	-113.399337189823	-113.58183577374	-114.173753802829	-114.801870452659	-115.424903203433	-115.399053170167	-115.554763434041	-115.554763434041	-115.554763434041	-108.797191066287	357.813	91.7733543262093	91.7733543262093	-109.754924574143	91.7733543262093	-549.803961804697	1.66175563626396		
